code;name;account_type;companies;cod_nat_odoo_atual;cod_nat_odoo_atual_label;cod_nat_esperado;cod_nat_esperado_label;acao_solicitada
1130600001;ADIANTAMENTOS A FORNECEDORES NACIONAIS;liability_payable;FB,SC,CD;01;Ativo;02;Passivo;Corrigir l10n_br_cod_nat de 01 para 02
1130600002;ADIANTAMENTOS A FORNECEDORES EXTERIOR;liability_payable;FB,SC,CD;01;Ativo;02;Passivo;Corrigir l10n_br_cod_nat de 01 para 02
1130700001;ADIANTAMENTO DE SALARIOS;expense;FB,SC,CD;01;Ativo;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 01 para 05
1130700002;ADIANTAMENTO DE FERIAS;expense;FB,SC,CD;01;Ativo;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 01 para 05
1210200003;EMPRESTIMOS A SOCIOS;liability_payable;FB,SC,CD;01;Ativo;02;Passivo;Corrigir l10n_br_cod_nat de 01 para 02
2110100001;SALARIOS E ORDENADOS A PAGAR;expense;FB,SC,CD;02;Passivo;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 02 para 05
2110100002;PRO LABORE A PAGAR;expense;FB,SC,CD;02;Passivo;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 02 para 05
2110100003;PENSAO ALIMENTICIA;expense;FB,SC,CD;02;Passivo;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 02 para 05
2110100008;RESCISOES;expense;FB,SC,CD;02;Passivo;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 02 para 05
2110200001;INSS A RECOLHER;expense;FB,SC,CD;02;Passivo;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 02 para 05
2110200008;IRRF - SALARIOS A RECOLHER;expense;FB,SC,CD;02;Passivo;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 02 para 05
2110200015;FGTS A RECOLHER;expense;FB,SC,CD;02;Passivo;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 02 para 05
2110200030;CONTRIBUICAO SINDICAL  A RECOLHER;expense;FB,SC,CD;02;Passivo;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 02 para 05
2130500001;ALUGUEL A PAGAR;income;FB,SC,CD;02;Passivo;04;Receita;Corrigir l10n_br_cod_nat de 02 para 04
2140100005;DESC. DUPL. ATACADAO;asset_cash;FB,SC,CD;02;Passivo;01;Ativo;Corrigir l10n_br_cod_nat de 02 para 01
2140100015;DESC.DUPL. BARCELONA;asset_cash;FB,SC,CD;02;Passivo;01;Ativo;Corrigir l10n_br_cod_nat de 02 para 01
2140100016;DESC.DUPL. PAO ACUCAR;asset_cash;FB,SC,CD;02;Passivo;01;Ativo;Corrigir l10n_br_cod_nat de 02 para 01
2140100022;SRM ADM.RECURSOS E FINANCAS;asset_cash;FB,SC,CD;02;Passivo;01;Ativo;Corrigir l10n_br_cod_nat de 02 para 01
2140100024;DESC.DUPL. ROLDAO;asset_cash;FB,SC,CD;02;Passivo;01;Ativo;Corrigir l10n_br_cod_nat de 02 para 01
2140100028;DESC. DUPL. WMS;asset_cash;FB,SC,CD;02;Passivo;01;Ativo;Corrigir l10n_br_cod_nat de 02 para 01
2140100029;DESC.DUPL. ATAKAREJO;asset_cash;FB,SC,CD;02;Passivo;01;Ativo;Corrigir l10n_br_cod_nat de 02 para 01
2140100035;ANTECIPACOES - TENDA;asset_cash;FB,SC,CD;02;Passivo;01;Ativo;Corrigir l10n_br_cod_nat de 02 para 01
2140100038;ANTECIPACOES - MUFFATO;asset_cash;FB,SC,CD;02;Passivo;01;Ativo;Corrigir l10n_br_cod_nat de 02 para 01
2140100039;ANTECIPACOES - ZARAGOZA;asset_cash;FB,SC,CD;02;Passivo;01;Ativo;Corrigir l10n_br_cod_nat de 02 para 01
2140100040;ANTECIPACOES - CENCOSUD/ MERCANTIL RODRIGUES;asset_cash;FB,SC,CD;02;Passivo;01;Ativo;Corrigir l10n_br_cod_nat de 02 para 01
2140100043;ANTECIPACOES - FORT ATAC GR PEREIRA;asset_cash;FB,SC,CD;02;Passivo;01;Ativo;Corrigir l10n_br_cod_nat de 02 para 01
2140100044;ANTECIPACOES - MERCADAO ATACADISTA;asset_cash;FB,SC,CD;02;Passivo;01;Ativo;Corrigir l10n_br_cod_nat de 02 para 01
