lf_move_id,lf_nome,data,valor_insumos_5902,chave,fb_move_id,fb_nome,fb_data,lf_periodo,fb_periodo
151260,VND/2025/00001,2025-01-06,11044.3,35250118467441000163550010000111011001512609,152145,ENTSI/2025/01/0001,2025-01-07,FECHADO,FECHADO
151904,VND/2025/00004,2025-01-07,8467.31,35250118467441000163550010000111071001519046,152807,ENTSI/2025/01/0005,2025-01-08,FECHADO,FECHADO
151629,VND/2025/00002,2025-01-07,14113.4,35250118467441000163550010000111031001516293,152392,ENTSI/2025/01/0003,2025-01-07,FECHADO,FECHADO
151825,VND/2025/00003,2025-01-07,58507.29,35250118467441000163550010000111051001518258,152774,ENTSI/2025/01/0004,2025-01-08,FECHADO,FECHADO
152472,VND/2025/00005,2025-01-07,15044.72,35250118467441000163550010000111091001524729,154402,ENTSI/2025/01/0009,2025-01-09,FECHADO,FECHADO
153158,VND/2025/00007,2025-01-08,11158.73,35250118467441000163550010000111131001531582,154173,ENTSI/2025/01/0006,2025-01-09,FECHADO,FECHADO
152689,VND/2025/00006,2025-01-08,218380.46,35250118467441000163550010000111111001526894,154376,ENTSI/2025/01/0008,2025-01-09,FECHADO,FECHADO
153193,VND/2025/00008,2025-01-08,6699.7,35250118467441000163550010000111141001531938,154324,ENTSI/2025/01/0007,2025-01-09,FECHADO,FECHADO
155030,VND/2025/00009,2025-01-10,26798.82,35250118467441000163550010000111211001550309,155648,ENTSI/2025/01/0010,2025-01-13,FECHADO,FECHADO
155928,VND/2025/00010,2025-01-13,14011.49,35250118467441000163550010000111231001559289,156420,ENTSI/2025/01/0011,2025-01-14,FECHADO,FECHADO
156566,VND/2025/00012,2025-01-14,16735.42,35250118467441000163550010000111261001565663,157933,ENTSI/2025/01/0014,2025-01-16,FECHADO,FECHADO
156121,VND/2025/00011,2025-01-14,8359.92,35250118467441000163550010000111251001561210,156439,ENTSI/2025/01/0012,2025-01-14,FECHADO,FECHADO
157576,VND/2025/00016,2025-01-15,9549.96,35250118467441000163550010000111331001575760,158114,ENTSI/2025/01/0017,2025-01-16,FECHADO,FECHADO
157387,VND/2025/00014,2025-01-15,17401.82,35250118467441000163550010000111301001573871,157958,ENTSI/2025/01/0015,2025-01-16,FECHADO,FECHADO
157186,VND/2025/00013,2025-01-15,17401.82,35250118467441000163550010000111281001571862,157985,ENTSI/2025/01/0016,2025-01-16,FECHADO,FECHADO
157562,VND/2025/00015,2025-01-15,10011.0,35250118467441000163550010000111321001575623,158133,ENTSI/2025/01/0018,2025-01-16,FECHADO,FECHADO
158441,VND/2025/00018,2025-01-16,19099.97,35250118467441000163550010000111371001584416,159071,ENTSI/2025/01/0020,2025-01-17,FECHADO,FECHADO
157756,VND/2025/00017,2025-01-16,19099.97,35250118467441000163550010000111351001577563,159037,ENTSI/2025/01/0019,2025-01-17,FECHADO,FECHADO
158940,VND/2025/00021,2025-01-17,100380.13,35250118467441000163550010000111451001589401,159883,ENTSI/2025/01/0022,2025-01-20,FECHADO,FECHADO
158884,VND/2025/00020,2025-01-17,3183.32,35250118467441000163550010000111411001588848,159098,ENTSI/2025/01/0021,2025-01-17,FECHADO,FECHADO
158878,VND/2025/00019,2025-01-17,19099.97,35250118467441000163550010000111391001588785,162445,ENTSI/2025/01/0027,2025-01-22,FECHADO,FECHADO
159854,VND/2025/00022,2025-01-20,12762.62,35250118467441000163550010000111461001598548,161004,ENTSI/2025/01/0023,2025-01-21,FECHADO,FECHADO
159864,VND/2025/00023,2025-01-20,19099.97,35250118467441000163550010000111471001598642,162726,ENTSI/2025/01/0028,2025-01-23,FECHADO,FECHADO
160089,VND/2025/00024,2025-01-20,14300.11,35250118467441000163550010000111501001600898,162312,ENTSI/2025/01/0025,2025-01-22,FECHADO,FECHADO
161189,VND/2025/00027,2025-01-21,11232.32,35250118467441000163550010000111561001611893,162791,ENTSI/2025/01/0031,2025-01-23,FECHADO,FECHADO
160939,VND/2025/00025,2025-01-21,99.48,35250118467441000163550010000111531001609390,164025,ENTSI/2025/01/0038,2025-01-24,FECHADO,FECHADO
160979,VND/2025/00026,2025-01-21,5458.18,35250118467441000163550010000111541001609797,163992,ENTSI/2025/01/0036,2025-01-24,FECHADO,FECHADO
161325,VND/2025/00029,2025-01-21,56161.52,35250118467441000163550010000111591001613251,162289,ENTSI/2025/01/0024,2025-01-22,FECHADO,FECHADO
161192,VND/2025/00028,2025-01-21,67393.82,35250118467441000163550010000111571001611920,162357,ENTSI/2025/01/0026,2025-01-22,FECHADO,FECHADO
161656,VND/2025/00031,2025-01-22,41529.65,35250118467441000163550010000111621001616566,162737,ENTSI/2025/01/0029,2025-01-23,FECHADO,FECHADO
162171,VND/2025/00032,2025-01-22,83059.31,35250118467441000163550010000111641001621718,163223,ENTSI/2025/01/0032,2025-01-23,FECHADO,FECHADO
161642,VND/2025/00030,2025-01-22,33696.92,35250118467441000163550010000111611001616429,162775,ENTSI/2025/01/0030,2025-01-23,FECHADO,FECHADO
162974,VND/2025/00036,2025-01-23,2076.47,35250118467441000163550010000111721001629745,164657,ENTSI/2025/01/0042,2025-01-27,FECHADO,FECHADO
162928,VND/2025/00035,2025-01-23,78626.12,35250118467441000163550010000111711001629284,164681,ENTSI/2025/01/0043,2025-01-27,FECHADO,FECHADO
162621,VND/2025/00034,2025-01-23,96902.52,35250118467441000163550010000111691001626210,163267,ENTSI/2025/01/0034,2025-01-23,FECHADO,FECHADO
163211,VND/2025/00037,2025-01-23,78626.12,35250118467441000163550010000111751001632110,164629,ENTSI/2025/01/0040,2025-01-27,FECHADO,FECHADO
162611,VND/2025/00033,2025-01-23,13843.22,35250118467441000163550010000111671001626118,163235,ENTSI/2025/01/0033,2025-01-23,FECHADO,FECHADO
163467,VND/2025/00038,2025-01-24,13884.37,35250118467441000163550010000111771001634672,164003,ENTSI/2025/01/0037,2025-01-24,FECHADO,FECHADO
163950,VND/2025/00041,2025-01-24,83059.31,35250118467441000163550010000111831001639507,164640,ENTSI/2025/01/0041,2025-01-27,FECHADO,FECHADO
163696,VND/2025/00040,2025-01-24,96902.52,35250118467441000163550010000111811001636961,164618,ENTSI/2025/01/0039,2025-01-27,FECHADO,FECHADO
