cod	nome	lote_origem	qty	reserved_no_quant	source
201250027	CAIXA DE PAPELAO - 255 X 190 X 155 - LISA	205-120/26	135.0	0	livre
201240023	CAIXA DE PAPELAO - 415 X 155 X 150 - LISA	308-216/25	157.0	0	livre
103000113	PIMENTA BIQUINHO	46863622	60.44	0	livre
103000113	PIMENTA BIQUINHO	136/26	189.56	0	livre
4739199	OL. MIS. AZEITE DE OLIVA - GL 4X5,02 L - DOM GAMEI	353/25	362.75	0	livre
210871646	ROTULO MOLHO SHOYU 150 ML - PRATILE	23340	380.0	0	livre
4879012	MOLHO SHOYU - PET 12X1,01 L - ST ISABEL	318/23	386.0	0	livre
4820152	MOLHO DE PIMENTA CREMOSA DEFUMADA - PET 12X200 G -	FAT-4820152-20260520	391.917	0	livre
3902801	MOLHO PESTO - BOCCANEIRA	INV-3902801-20260519	451.2	0	livre
3851101	MAIONESE COM RELISH - STRUMPF	225/25	219.24	0	livre
3851101	MAIONESE COM RELISH - STRUMPF	13214	242.96	0	livre
3833101	KETCHUP RUSTICO - STRUMPF	279/25	475.2	0	livre
105000102	PASTA DE MOSTARDA WILSON (MACERADO)	233	500.943	0	livre
207030327	ROTULO - AZ VI VD 200 G - CAMPO BELO	049-034/26	504.0	0	livre
206030034	TAMPA ALUMINIO AZUL - VD 100/200 G - CONSERVA	212-127/26	504.0	0	livre
208000043	QUADRO DE MADEIRA - NADIR	P-15/05	508.0	0	livre
104000054	ACUCAR MASCAVO	05/11/2029	255.7932	0	livre
4880176	MOLHO BARBECUE - PET 12X200 G - CAMPO BELO	100/26	522.833	0	livre
4899027	MOLHO DE SALADA MOSTARDA E GENGIBRE - PET 12X240 M	FAT-4899027-20260520	269.0	0	livre
3854101	MAIONESE COM AZEITONA PRETA - STRUMPF	INV-3854101-20260519	338.72	0	livre
3854101	MAIONESE COM AZEITONA PRETA - STRUMPF	13214	200.0	0	livre
210010351	ROTULO MAIONESE COM RELISH PET 240G - STRUMPF	LF/Estoque - 0108	576.0	0	livre
105000003	AROMA - MAIONESE	0310/24	143.3572	0	livre
105000003	AROMA - MAIONESE	P-15/05	430.0	0	livre
4890128	MOLHO DE SALADA PARMESAO - PET 12X240 ML - CAMPO B	033/26	1.0	0	livre
4890128	MOLHO DE SALADA PARMESAO - PET 12X240 ML - CAMPO B	034/26	319.083	0	livre
4870146	MOLHO SHOYU - PET 12X150 ML - CAMPO BELO	120/26	659.229	0	livre
105000021	POLPA - PIMENTA MALAGUETA	1209/24	10.668	0	livre
105000021	POLPA - PIMENTA MALAGUETA	140/26	5.0	0	livre
105000021	POLPA - PIMENTA MALAGUETA	1102	647.0336	0	livre
