cod	nome	lote	qty
201250027	CAIXA DE PAPELAO - 255 X 190 X 155 - LISA	MIGRAÇÃO	135.0
201240023	CAIXA DE PAPELAO - 415 X 155 X 150 - LISA	MIGRAÇÃO	157.0
103000113	PIMENTA BIQUINHO	MIGRAÇÃO	250.0
4739199	OL. MIS. AZEITE DE OLIVA - GL 4X5,02 L - DOM GAMEI	MIGRAÇÃO	362.75
210871646	ROTULO MOLHO SHOYU 150 ML - PRATILE	MIGRAÇÃO	380.0
4879012	MOLHO SHOYU - PET 12X1,01 L - ST ISABEL	MIGRAÇÃO	386.0
4820152	MOLHO DE PIMENTA CREMOSA DEFUMADA - PET 12X200 G -	MIGRAÇÃO	391.917
3902801	MOLHO PESTO - BOCCANEIRA	MIGRAÇÃO	451.2
3851101	MAIONESE COM RELISH - STRUMPF	MIGRAÇÃO	462.2
3833101	KETCHUP RUSTICO - STRUMPF	MIGRAÇÃO	475.2
105000102	PASTA DE MOSTARDA WILSON (MACERADO)	MIGRAÇÃO	500.943
207030327	ROTULO - AZ VI VD 200 G - CAMPO BELO	MIGRAÇÃO	504.0
206030034	TAMPA ALUMINIO AZUL - VD 100/200 G - CONSERVA	MIGRAÇÃO	504.0
208000043	QUADRO DE MADEIRA - NADIR	MIGRAÇÃO	508.0
104000054	ACUCAR MASCAVO	MIGRAÇÃO	511.5864
4880176	MOLHO BARBECUE - PET 12X200 G - CAMPO BELO	MIGRAÇÃO	522.833
4899027	MOLHO DE SALADA MOSTARDA E GENGIBRE - PET 12X240 M	MIGRAÇÃO	538.0
3854101	MAIONESE COM AZEITONA PRETA - STRUMPF	MIGRAÇÃO	538.72
210010351	ROTULO MAIONESE COM RELISH PET 240G - STRUMPF	MIGRAÇÃO	576.0
105000003	AROMA - MAIONESE	MIGRAÇÃO	579.7796
4890128	MOLHO DE SALADA PARMESAO - PET 12X240 ML - CAMPO B	MIGRAÇÃO	639.166
4870146	MOLHO SHOYU - PET 12X150 ML - CAMPO BELO	MIGRAÇÃO	659.229
105000021	POLPA - PIMENTA MALAGUETA	MIGRAÇÃO	662.85164
210901619	ROTULO MOLHO CHIMICHURRI PET 200 GR - MONTANA GRIL	MIGRAÇÃO	690.0
210856125	ROTULO MAIONESE VERDE PET 210G - STRUMPF	MIGRAÇÃO	704.0
210857125	ROTULO MAIONESE DIJONESE PET 210G - STRUMPF	MIGRAÇÃO	720.0
4860112	MOLHO INGLES - PET 12X1,01 L - CAMPO BELO	MIGRAÇÃO	743.833
3088981	PEPINO RELISH - STRUMPF	MIGRAÇÃO	808.923
3800004	BATELADA DE BARBECUE	MIGRAÇÃO	843.2
3853101	MAIONESE AIOLI - STRUMPF	MIGRAÇÃO	866.44
4820153	MOLHO DE PIMENTA CREMOSA ERVAS FINAS - PET 12X200 	MIGRAÇÃO	870.0
203030016	TAMPA PLASTICA AZUL  - BD 2,2 L - CONSERVA	MIGRAÇÃO	888.0
4902852	MOLHO PESTO - PET 12X200 GR - BOCCANEIRA	MIGRAÇÃO	894.0
3855101	MAIONESE ORIGINAL - STRUMPF	MIGRAÇÃO	920.0
105000023	ANTIESPUMANTE AFE 1520 	MIGRAÇÃO	928.3261
210030342	ROTULO FRONTAL - MOLHO DE SALADA PARMESAO PET 240 	MIGRAÇÃO	940.0
