cod_produto	nome	empresa	qty
201250027	CAIXA DE PAPELAO - 255 X 190 X 155 - LISA	FB	135
201240023	CAIXA DE PAPELAO - 415 X 155 X 150 - LISA	FB	157
103000113	PIMENTA BIQUINHO	FB	250
4739199	OL. MIS. AZEITE DE OLIVA - GL 4X5,02 L - DOM GAMEIRO	FB	362.75
210871646	ROTULO MOLHO SHOYU 150 ML - PRATILE	FB	380
4879012	MOLHO SHOYU - PET 12X1,01 L - ST ISABEL	FB	386
4820152	MOLHO DE PIMENTA CREMOSA DEFUMADA - PET 12X200 G - CAMPO BELO	FB	391.917
3902801	MOLHO PESTO - BOCCANEIRA	FB	451.2
3851101	MAIONESE COM RELISH - STRUMPF	FB	462.2
3833101	KETCHUP RUSTICO - STRUMPF	FB	475.2
105000102	PASTA DE MOSTARDA WILSON (MACERADO)	FB	500.957024
207030327	ROTULO - AZ VI VD 200 G - CAMPO BELO	FB	504
206030034	TAMPA ALUMINIO AZUL - VD 100/200 G - CONSERVA	FB	504
208000043	QUADRO DE MADEIRA - NADIR	FB	508
104000054	ACUCAR MASCAVO	FB	511.5864
4880176	MOLHO BARBECUE - PET 12X200 G - CAMPO BELO	FB	523
4899027	MOLHO DE SALADA MOSTARDA E GENGIBRE - PET 12X240 ML - ST ISABEL	FB	538
3854101	MAIONESE COM AZEITONA PRETA - STRUMPF	FB	538.72
210010351	ROTULO MAIONESE COM RELISH PET 240G - STRUMPF	FB	576
105000003	AROMA - MAIONESE	FB	579.7796
4890128	MOLHO DE SALADA PARMESAO - PET 12X240 ML - CAMPO BELO	FB	639.166
4870146	MOLHO SHOYU - PET 12X150 ML - CAMPO BELO	FB	659.229
105000021	POLPA - PIMENTA MALAGUETA	FB	662.85164
103	PEPINO	FB	683.264
210901619	ROTULO MOLHO CHIMICHURRI PET 200 GR - MONTANA GRILL	FB	690
210856125	ROTULO MAIONESE VERDE PET 210G - STRUMPF	FB	704
210857125	ROTULO MAIONESE DIJONESE PET 210G - STRUMPF	FB	720
4860112	MOLHO INGLES - PET 12X1,01 L - CAMPO BELO	FB	743.833
46	VINAGRE DE ALCOOL TRIPLO	FB	799.084389
3088981	PEPINO RELISH - STRUMPF	FB	808.923
3800004	BATELADA DE BARBECUE	FB	843.2
3853101	MAIONESE AIOLI - STRUMPF	FB	866.44
4820153	MOLHO DE PIMENTA CREMOSA ERVAS FINAS - PET 12X200 G - CAMPO BELO	FB	870
203030016	TAMPA PLASTICA AZUL  - BD 2,2 L - CONSERVA	FB	888
4902852	MOLHO PESTO - PET 12X200 GR - BOCCANEIRA	FB	894
3855101	MAIONESE ORIGINAL - STRUMPF	FB	920
105000023	ANTIESPUMANTE AFE 1520 	FB	928.3261
210030342	ROTULO FRONTAL - MOLHO DE SALADA PARMESAO PET 240 ML - CAMPO BELO	FB	940
105000066	PASTA DE MOSTARDA RUSTICA DIJON - STRUMPF	FB	943.84
602000006	BARRICAS	FB	970
3900101	MOLHO CHIMICHURRI - INDUSTRIA	FB	976
210801107	ROTULO KETCHUP DEFUMADO PEDACUDO VIDRO 360 GR - STRUMPF	FB	1000
210832107	ROTULO KETCHUP PICANTE VIDRO 360 GR - STRUMPF	FB	1000
209831101	SELO MARROM KETCHUP DEFUMADO - STRUMPF	FB	1000
209832101	SELO VERMELHO KETCHUP APIMENTADO - STRUMPF	FB	1000
210010348	ROTULO MAIONESE AIOLI PET 240G - STRUMPF	FB	1014
105000038	EMULSAO - ALHO - ST 2172	FB	1059.161728
201030011	CAIXA DE PAPELAO - 555 X 370 X 170 - CAMPO BELO	FB	1200
3071801	MOLHO RELISH DE PIMENTA - BOCCANEIRA	FB	1202.4
208000044	CHAPA DE FIBRA DE MADEIRA - NADIR	FB	1290
103000117	PIMENTA BIQUINHO B	FB	1292.64
3072801	GELEIA DE PIMENTA - BOCCANEIRA	FB	1308
210003013	FRASCO 1LT 38MM 45G - STRUMPF	FB	1354
4729697	OL. MIS. AZEITE DE OLIVA - PET 24X200 ML - CASA BLANCA	FB	1359
105000026	CONDIMENTO - BBQ NG - ST 2176	FB	1364.0964
3859701	MAIONESE ALHO E ERVAS	FB	1369.76
210081852	ROTULO RELISH DE PEPINO PET 200 GR - BOCCANEIRA	FB	1450
4860146	MOLHO INGLES - PET 12X150 ML - CAMPO BELO	FB	1650.083
210030442	ROTULO VERSO - MOLHO DE SALADA PARMESAO PET 240 ML - CAMPO BELO	FB	1786
210010357	ROTULO MAIONESE ORIGINAL PET 240G - STRUMPF	FB	1930
X105000022	MOLHO SHOYU TRADICIONAL	FB	1955.189
301000003	SALMOURA COGUMELO PADRAO (FOR002)	FB	2000
210803107	ROTULO KETCHUP RUSTICO PEDACUDO VIDRO 360 GR - STRUMPF	FB	2000
209833101	SELO PRETO KETCHUP RUSTICO - STRUMPF	FB	2000
207032727	ROTULO - PEPINO VD 200 G - CAMPO BELO	FB	2000
210831105	ROTULO KETCHUP DEFUMADO PET 470 GR - STRUMPF	FB	2076
201030023	CAIXA DE PAPELAO - 415 X 155 X 150 - CAMPO BELO	FB	2193
4830176	KETCHUP   - PET 12X200 G - CAMPO BELO	FB	2225.9993
209831000	POTE DE VIDRO 360G - 73x112	FB	2291
206000309	VIDRO 200 GR – SPECK FOODS	FB	2372
207381220	ROTULO 240PET - STRUMPF	FB	2376
