cod,qty_solicitada,cod_status,transf_idx,lot_id_origem,lote_origem_nome,location_id_origem,qty_pretendida,qty_movida,transf_status,tempo_ms_transf
210844125,2536.0,DRY_RUN_OK,1,59685,13203,8,1192.0,1192.0,DRY_RUN_OK,48
210844125,2536.0,DRY_RUN_OK,2,28115,13757,8,1344.0,1344.0,DRY_RUN_OK,51
105000014,2800.0,DRY_RUN_OK,1,59463,FAT-105000014-20260520,8,2800.0,2800.0,DRY_RUN_OK,52
210842105,2880.0,DRY_RUN_OK,1,37445,216/25,8,2880.0,2880.0,DRY_RUN_OK,52
210833105,2920.0,DRY_RUN_OK,1,28118,20709,8,2920.0,2920.0,DRY_RUN_OK,47
210881114,2988.0,DRY_RUN_OK,1,59684,13203,8,1488.0,1488.0,DRY_RUN_OK,51
210881114,2988.0,DRY_RUN_OK,2,40505,26910,8,1500.0,1500.0,DRY_RUN_OK,48
210841125,3026.0,DRY_RUN_OK,1,59686,13203,8,4.0,4.0,DRY_RUN_OK,53
210841125,3026.0,DRY_RUN_OK,2,28114,15249,8,3022.0,3022.0,DRY_RUN_OK,53
209751213,3047.0,DRY_RUN_OK,1,59647,13201,8,47.0,47.0,DRY_RUN_OK,54
209751213,3047.0,DRY_RUN_OK,2,19756,241072,8,3000.0,3000.0,DRY_RUN_OK,46
3800005,3093.719,DRY_RUN_OK,1,59069,INV-3800005-20260519,8,3093.719,3093.719,DRY_RUN_OK,51
45121452,3501.39,FALHA_PRODUTO,0,,,,0,0,(no transfer),0
209029913,3550.0,DRY_RUN_OK,1,25226,25009,8,3550.0,3550.0,DRY_RUN_OK,52
210030214,3559.0,DRY_RUN_OK,1,37453,3208480,8,3559.0,3559.0,DRY_RUN_OK,53
209029912,3700.0,DRY_RUN_OK,1,59015,25008,8,3700.0,3700.0,DRY_RUN_OK,54
210881116,3852.0,DRY_RUN_OK,1,59682,13203,8,3852.0,3852.0,DRY_RUN_OK,48
207381221,4180.0,DRY_RUN_OK,1,59600,13211,8,4180.0,4180.0,DRY_RUN_OK,50
209000401,4187.0,DRY_RUN_OK,1,59632,13201,8,4187.0,4187.0,DRY_RUN_OK,46
210030008,4508.0,DRY_RUN_OK,1,59675,81184,8,4508.0,4508.0,DRY_RUN_OK,47
3800011,4550.6,DRY_RUN_OK,1,59613,13213,8,219.6,219.6,DRY_RUN_OK,47
3800011,4550.6,DRY_RUN_OK,2,59072,INV-3800011-20260519,8,4331.0,4331.0,DRY_RUN_OK,40
210842125,4880.0,DRY_RUN_OK,1,59037,09/09/2025,8,4880.0,4880.0,DRY_RUN_OK,52
105000054,4970.4228,DRY_RUN_OK,1,59012,0310/24,8,4967.4709,4967.4709,DRY_RUN_OK,43
105000054,4970.4228,DRY_RUN_OK,2,59295,13216,8,1.2564,1.2564,DRY_RUN_OK,55
105000054,4970.4228,DRY_RUN_OK,3,59587,13224,8,0.3492,0.3492,DRY_RUN_OK,50
105000054,4970.4228,DRY_RUN_OK,4,59478,202503226,8,1.3463,1.3463,DRY_RUN_OK,48
210831125,5050.0,DRY_RUN_OK,1,40507,26912,8,5050.0,5050.0,DRY_RUN_OK,47
210030114,5724.0,DRY_RUN_OK,1,59017,034361/1/001,8,5724.0,5724.0,DRY_RUN_OK,51
210030212,5860.0,DRY_RUN_OK,1,59018,06/05/2025,8,848.0,848.0,DRY_RUN_OK,47
210030212,5860.0,DRY_RUN_OK,2,34182,5103062,8,5012.0,5012.0,DRY_RUN_OK,45
210003012,6393.0,DRY_RUN_OK,1,23648,78975,8,6393.0,6393.0,DRY_RUN_OK,54
210030335,6916.0,DRY_RUN_OK,1,59665,13203,8,6916.0,6916.0,DRY_RUN_OK,51
3800002,6933.688,DRY_RUN_OK,1,59067,114/26,8,6230.448,6230.448,DRY_RUN_OK,55
3800002,6933.688,DRY_RUN_OK,2,59609,13213,8,703.2399999999998,703.2399999999998,DRY_RUN_OK,50
201240008,6946.0,DRY_RUN_OK,1,59013,5105945,8,6946.0,6946.0,DRY_RUN_OK,48
210030703,7242.0,DRY_RUN_OK,1,59676,13203,8,684.0,684.0,DRY_RUN_OK,56
210030703,7242.0,DRY_RUN_OK,2,58000,307-216/25,8,1000.0,1000.0,DRY_RUN_OK,51
210030703,7242.0,DRY_RUN_OK,3,37417,ME307-216/25,8,5558.0,5558.0,DRY_RUN_OK,44
