cod,qty,nome
105000014,2800,SAL COM IODO
210842105,2880,ROTULO MOSTARDA COM PICLES PET 470 GR - STRUMPF
210833105,2920,ROTULO KETCHUP RUSTICO PET 470 GR - STRUMPF
210841125,3026,ROTULO MOSTARDA INTENSA E ADOCICADA PET 210 GR - STRUMPF
45121452,3501.39,COG FAT OUTBACK CX
209029913,3550,ROTULO VERSO - OLEO MISTO VD 500 ML - ROST
209029912,3700,ROTULO FRONTAL - OLEO MISTO VD 500 ML - ROST
210881116,3852,ROTULO MOLHO BARBECUE PET 500 GR - STRUMPF
207381221,4180,ROTULO 510PET - STRUMPF
209000401,4187,CAIXA DE PAPELAO - 255 X 160 X 180 - LISA
210030008,4508,FRASCO INCOLOR 240 G - MOLHO
3800011,4550.6,BATELADA DE MOSTARDA
210842125,4880,ROTULO MOSTARDA COM PICLES PET 210 GR - STRUMPF
105000054,4970.4228,CORANTE - DIOXIDO DE TITANIO
210831125,5050,ROTULO KETCHUP DEFUMADO PET 210 GR - STRUMPF
210030114,5724,TAMPA PLÁSTICA P/ GL 5 LT
210030212,5860,CAIXA DE PAPELAO - 180 X 140 X 175 - LISA
210003012,6393,FRASCO 400ML INCOLOR 32G MOLHO - STRUMPF
210030335,6916,"ROTULO - MOLHO INGLES PET 1,01 L - CAMPO BELO"
3800002,6933.688,BATELADA DE ALHO
201240008,6946,CAIXA DE PAPELÃO - 382X280X292 - LISA
210030703,7242,"BAG - 20 X 25 X 0,20 - LISO"
3800007,7515.6,BATELADA DE KETCHUP
3800018,7561.513,BATELADA DE SHOYU
3800019,7636.232,BATELADA – MOLHO INGLÊS OUTBACK
501,7695,AZEITONA VERDE GORDAL
207381420,7708,ROTULO PICLES SWEET RELISH 220G - STRUMPF
210071852,8018,ROTULO RELISH DE PIMENTA PET 200 GR - BOCCANEIRA
210030216,8245,CAIXA PET - STRUMPF
210010339,8460,ROTULO FRONTAL - MOLHO DE SALADA MOSTARDA E GENGIBRE PET 240 ML - ST ISABEL
209000153,9944,GALÃO PLÁSTICO DE 5 L P/SHOYU
105000048,10108.997,VINAGRE BALSAMICO
210030101,10799,"TAMPA PLASTICA AMARELA - GL 3,3 L - MOLHO"
210072852,10910,ROTULO GELEIA DE PIMENTA PET 200 GR - BOCCANEIRA
210030218,11000,CAIXA DE PAPELAO 220 X 145 X 110 - STRUMPF
3800000,11773.36,MACERADO DE MOSTARDA
210030217,12164,CAIXA PET PEQUENA - STRUMPF
105000047,12238.6377,VINAGRE VINHO TINTO INDUSTRIAL
210902852,12938,ROTULO MOLHO PESTO PET 200 GR - BOCCANEIRA
207120309,13200,ROTULO - AZ VI 500 G - OUTBACK
207120233,13200,ROTULO - AZ VF 170 G - OUTBACK
207120433,14000,ROTULO - AZ VSC 170 G - OUTBACK
210010319,14994,"ROTULO MOLHO SHOYU 5,02 LT - CAMPO BELO"
109000003,15078.898,AZEITE DE OLIVA EXTRA VIRGEM
301000001,16898.1,SALMOURA AZEITONA PADRAO (FOR001)
102030307,17100,AZEITONA VERDE INTEIRA 32/36
209079922,17330,ROTULO FRONTAL - OLEO MISTO PET 200 ML - CASA BLANCA
209039912,17900,ROTULO FRONTAL - OLEO MISTO VD 500 ML - SENHORA DO VISO
210030208,18988,CAIXA DE PAPELAO - 192 X 140 X 165 - CAMPO BELO
209039913,19800,ROTULO VERSO - OLEO MISTO VD 500 ML - SENHORA DO VISO
209079923,20880,ROTULO VERSO - OLEO MISTO PET 200 ML - CASA BLANCA
210010204,20965,CAIXA DE PAPELAO - 260 X 260 X 305 - CAMPO BELO
210030102,21404,"TAMPA PLASTICA MARROM - GL 3,3 L - MOLHO"
209079913,21474,ROTULO VERSO - OLEO MISTO VD 500 ML - CASA BLANCA
104000011,22140.01,HIPOCLORITO DE SOD
209079912,22624,ROTULO FRONTAL - OLEO MISTO VD 500 ML - CASA BLANCA
201030051,22993.838,CANTONEIRA DE PAPELAO - 50 X 50 X 2 X 1160
207030127,24000,ROTULO - AZ PI VD 200 G - CAMPO BELO
207030426,24000,ROTULO - AZ VSC VD 160 G - CAMPO BELO
207032627,24000,ROTULO - CEBOLINHA VD 200 G - CAMPO BELO
210030115,24206,TAMPA 38MM FLIPTOP - STRUMPF
105000017,24771.59945,AMIDO - MAYOGEL
104000015,26521.94889,SAL SEM IODO
210010347,28420,ROTULO - MAIONESE BD 6X3 KG - CAMPO BELO
209000450,28916,CAIXA DE PAPELAO - 325 X 325 X 300 - LISA
210030333,29800,"ROTULO - KETCHUP GL 3,05 KG - CAMPO BELO"
301100014,31180.264,SALMOURA AZEITONA VIDRO PADRAO (FOR0029)
210003011,31378,"FRASCO 200ML INCOLOR 20,5 SUPER CRISTAL - STRUMPF"
210030002,31965,"FRASCO MARROM 3,3 L - MOLHO"
209000110,33528,GARRAFA VIDRO 500 ML CILINDRICA - OLEO
206901619,34644,"FRASCO 200ML INCOLOR 20,5 SUPER CRISTAL - MONTANA GRILL"
210030330,36164,"ROTULO - MOSTARDA GL 3,05 KG - CAMPO BELO"
209039900,43184,"ROTULO - OLEO MISTO GL 5,02 L - SENHORA DO VISO"
210030203,43478,CAIXA DE PAPELAO - 320 X 240 X 267 - CAMPO BELO
3800009,44748,BATELADA DE MAIONESE
209049900,46098,"ROTULO - OLEO MISTO GL 5,02 L - DOM GAMEIRO"
207901619,47836,TAMPA PRETA CHIMICHURRI - 200 GR - MONTANA GRILL
210030327,49742,ROTULO FRONTAL - KETCHUP PET 200 G - CAMPO BELO
210030427,51036,ROTULO VERSO - KETCHUP PET 200 G - CAMPO BELO
210030100,51493,"TAMPA PLASTICA VERMELHA - GL 3,3 L - MOLHO"
210030001,52488,"FRASCO AMARELO 3,3 L - MOLHO"
209019900,52880,"ROTULO - OLEO MISTO GL 5,02 L - ST ISABEL"
210030000,53168,"FRASCO VERMELHO 3,3 L - MOLHO"
209049913,57571,ROTULO VERSO - OLEO MISTO VD 500 ML - DOM GAMEIRO
209049912,57766,ROTULO FRONTAL - OLEO MISTO VD 500 ML - DOM GAMEIRO
210030326,64570,"ROTULO - MOLHO DE ALHO PET 1,01 L - CAMPO BELO"
210030325,66532,ROTULO - MOLHO DE ALHO PET 150 ML - CAMPO BELO
210030322,69018,"ROTULO - MOLHO SHOYU PET 1,01 L - CAMPO BELO"
3800016,71290.88,BATELADA DE PIMENTA
210030209,73416,CAIXA DE PAPELAO - 180 X 140 X 175 - CAMPO BELO
209000152,76068,"TAMPA PLASTICA VERDE - GL 5,02 L - OLEO"
209000151,79392,"ALCA PLASTICA - VERDE - GL 5,02 L"
210030323,84136,ROTULO - MOLHO INGLES PET 150 ML - CAMPO BELO
209000410,102354,CAIXA DE PAPELAO - 267 X 200 X 270 - LISA
210010322,143100,"ROTULO - MOLHO SHOYU PET 1,01 L - ST ISABEL"
210030110,158212,"TAMPA PLASTICA VERMELHA - PET 1,01 L - MOLHO"
207210017,158380,ETIQUETA BRANCA 75X105 - BOPP
210030321,169952,ROTULO - MOLHO SHOYU PET 150 ML - CAMPO BELO
210030111,226276,TAMPA PLASTICA AMARELA - PET 200 G - MOLHO
210030010,236222,"FRASCO INCOLOR 1,01 L - MOLHO"
210030105,256126,TAMPA PLASTICA PRETA - PET 200 G - MOLHO
210030428,259576,ROTULO VERSO - MOSTARDA PET 200 G - CAMPO BELO
210030007,291266,FRASCO AMARELO 200 G - MOLHO
210030328,322676,ROTULO FRONTAL - MOSTARDA PET 200 G - CAMPO BELO
207210014,372348,ETIQUETA BRANCA 104X50
209010110,412752,GARRAFA VIDRO 500 ML IMPORTADA - OLEO
210030005,438296,FRASCO INCOLOR 200 G - MOLHO
210030320,618108,ROTULO - MOLHO DE PIMENTA PET 150 ML - CAMPO BELO
209019912,698355,ROTULO FRONTAL - OLEO MISTO VD 500 ML - ST ISABEL
209019913,718780,ROTULO VERSO - OLEO MISTO VD 500 ML - ST ISABEL
209000511,787384,TAMPA ALUMINIO PRETA - VD 500 ML - OLEO
210030112,841868,TAMPA PLASTICA VERMELHA - PET 150 ML - MOLHO
210030009,988233.794,FRASCO INCOLOR 150 G - MOLHO
104000042,2.273741,AROMA NATURAL - ENDRO
4310176,1094,AZEITONA VERDE INTEIRA - VD 12X200 G - CAMPO BELO
105000022,7047.05644,MOLHO SHOYU TRADICIONAL
201030052,12000,CANTONEIRA DE PAPELAO - 50 X 50 X 2 X 840
208000010,118847.7413,FITA ADESIVA TRANSPARENTE 48X1200
104000016,277781.5533,VINAGRE DE ALCOOL TRIPLO
208000111,194,SACO POLIETILENO - 80 X 80
104000050,1.088035,SUCRALOSE
104000052,34.75454,HORTELA DESIDRATADO
105000101,121.64,PIMENTA JALAPENO VERMELHA TRITURADA (MOIDA)
208000006,195.6,"SACO TRANSPARENTE - 80 X 60 X 0,10 - BALDE 20 L"
104000003,1372,ACUCAR
4870112,588,"MOLHO SHOYU - PET 12X1,01 L - CAMPO BELO"
104000018,1463,SORBATO DE POTASSIO GRANULADO
105000019,1695,POLPA - ALHO 90%
105000037,1999,CURCUMA EM PO
208000008,2239,FILME STRECH PRE ESTIRADO
105000028,2337,CONDIMENTO - MOSTARDA - YM 678653
105000006,2354,CONDIMENTO - KETCHUP
104000007,2466,CORANTE - CARAMELO TIPO III
104000004,3866,BENZOATO DE SODIO
104000002,8631,ACIDO CITRICO
105000024,34791,ACUCAR CRISTAL
209000150,76392,"GALAO PLASTICO 5,02 L - OLEO"
105000078,21,SALSA DESIDRATADA
105000046,25,GLUTAMATO MONOSSODICO
105000011,31,ACIDO LATICO
104000014,43,OREGANO TRITURADO
105000059,73,AROMA PICLES FIRMENICH - PICKLE FLAVOR
104000048,79,CORANTE - VITAMASSA U/102 (cópia)
104000034,79,NOZ MOSCADA EM PO
105000077,88,CEBOLA EM FLOCOS - FUCHS
104000009,90,GOMA GUAR
105000031,125,GEMA DE OVO EM PO
4820146,134,MOLHO DE PIMENTA - PET 12X150 ML - CAMPO BELO
104000031,237,SACARINA SODICA
104000001,288,ACIDO ASCORBICO
4840103,128,"MOSTARDA - GL 4X3,05 KG - CAMPO BELO"
4810112,369,"MOLHO DE ALHO - PET 12X1,01 L - CAMPO BELO"
4360172,617,AZEITONA VERDE SEM CAROCO - VD 12X160 G - CAMPO BELO
