cod,qty_solicitada,cod_status,transf_idx,lot_id_origem,lote_origem_nome,location_id_origem,qty_pretendida,qty_movida,transf_status,tempo_ms_transf
105000014,2800.0,EXECUTADO_TOTAL,1,59463,FAT-105000014-20260520,8,2800.0,2800.0,EXECUTADO,1355
210842105,2880.0,EXECUTADO_TOTAL,1,37445,216/25,8,2880.0,2880.0,EXECUTADO,1320
210833105,2920.0,EXECUTADO_TOTAL,1,28118,20709,8,2920.0,2920.0,EXECUTADO,1382
210841125,3026.0,EXECUTADO_TOTAL,1,59686,13203,8,4.0,4.0,EXECUTADO,1332
210841125,3026.0,EXECUTADO_TOTAL,2,28114,15249,8,3022.0,3022.0,EXECUTADO,1324
45121452,3501.39,FALHA_PRODUTO,0,,,,0,0,(no transfer),0
209029913,3550.0,EXECUTADO_TOTAL,1,25226,25009,8,3550.0,3550.0,EXECUTADO,1333
209029912,3700.0,EXECUTADO_TOTAL,1,59015,25008,8,3700.0,3700.0,EXECUTADO,1321
210881116,3852.0,EXECUTADO_TOTAL,1,59682,13203,8,3852.0,3852.0,EXECUTADO,1340
207381221,4180.0,EXECUTADO_TOTAL,1,59600,13211,8,4180.0,4180.0,EXECUTADO,1446
209000401,4187.0,EXECUTADO_TOTAL,1,59632,13201,8,4187.0,4187.0,EXECUTADO,1517
210030008,4508.0,EXECUTADO_TOTAL,1,59675,81184,8,4508.0,4508.0,EXECUTADO,1595
3800011,4550.6,EXECUTADO_TOTAL,1,59613,13213,8,219.6,219.6,EXECUTADO,1445
3800011,4550.6,EXECUTADO_TOTAL,2,59072,INV-3800011-20260519,8,4331.0,4331.0,EXECUTADO,1670
210842125,4880.0,EXECUTADO_TOTAL,1,59037,09/09/2025,8,4880.0,4880.0,EXECUTADO,1312
105000054,4970.4228,EXECUTADO_TOTAL,1,59012,0310/24,8,4967.4709,4967.4709,EXECUTADO,1641
105000054,4970.4228,EXECUTADO_TOTAL,2,59295,13216,8,1.2564,1.2564,EXECUTADO,-1327
105000054,4970.4228,EXECUTADO_TOTAL,3,59587,13224,8,0.3492,0.3492,EXECUTADO,1547
105000054,4970.4228,EXECUTADO_TOTAL,4,59478,202503226,8,1.3463,1.3463,EXECUTADO,1547
210831125,5050.0,EXECUTADO_TOTAL,1,40507,26912,8,5050.0,5050.0,EXECUTADO,1429
210030114,5724.0,EXECUTADO_TOTAL,1,59017,034361/1/001,8,5724.0,5724.0,EXECUTADO,1581
210030212,5860.0,EXECUTADO_TOTAL,1,59018,06/05/2025,8,848.0,848.0,EXECUTADO,1571
210030212,5860.0,EXECUTADO_TOTAL,2,34182,5103062,8,5012.0,5012.0,EXECUTADO,1649
210003012,6393.0,EXECUTADO_TOTAL,1,23648,78975,8,6393.0,6393.0,EXECUTADO,1564
210030335,6916.0,EXECUTADO_TOTAL,1,59665,13203,8,6916.0,6916.0,EXECUTADO,1703
3800002,6933.688,EXECUTADO_TOTAL,1,59067,114/26,8,6230.448,6230.448,EXECUTADO,1817
3800002,6933.688,EXECUTADO_TOTAL,2,59609,13213,8,703.2399999999998,703.2399999999998,EXECUTADO,1776
201240008,6946.0,EXECUTADO_TOTAL,1,59013,5105945,8,6946.0,6946.0,EXECUTADO,1686
210030703,7242.0,EXECUTADO_TOTAL,1,59676,13203,8,684.0,684.0,EXECUTADO,1473
210030703,7242.0,EXECUTADO_TOTAL,2,58000,307-216/25,8,1000.0,1000.0,EXECUTADO,1540
210030703,7242.0,EXECUTADO_TOTAL,3,37417,ME307-216/25,8,5558.0,5558.0,EXECUTADO,1699
3800007,7515.6,EXECUTADO_TOTAL,1,59611,13213,8,6734.8,6734.8,EXECUTADO,1636
3800007,7515.6,EXECUTADO_TOTAL,2,59070,302/25,8,780.8,780.8,EXECUTADO,1640
3800018,7561.513,EXECUTADO_TOTAL,1,59615,13214,8,1101.251,1101.251,EXECUTADO,1685
3800018,7561.513,EXECUTADO_TOTAL,2,59044,345/25,8,6460.262,6460.262,EXECUTADO,1474
3800019,7636.232,EXECUTADO_TOTAL,1,59616,13214,8,1534.152,1534.152,EXECUTADO,-1441
3800019,7636.232,EXECUTADO_TOTAL,2,59045,346/25,8,6102.08,6102.08,EXECUTADO,1390
501,7695.0,FALHA_PRODUTO,0,,,,0,0,(no transfer),0
207381420,7708.0,EXECUTADO_TOTAL,1,59601,13211,8,7708.0,7708.0,EXECUTADO,1431
210071852,8018.0,EXECUTADO_TOTAL,1,59677,13203,8,5718.0,5718.0,EXECUTADO,1536
210071852,8018.0,EXECUTADO_TOTAL,2,38514,238/25,8,2300.0,2300.0,EXECUTADO,1548
210030216,8245.0,EXECUTADO_TOTAL,1,59692,15110,8,110.0,110.0,EXECUTADO,1599
210030216,8245.0,EXECUTADO_TOTAL,2,59034,15110/5062894,8,8135.0,8135.0,EXECUTADO,1611
210010339,8460.0,EXECUTADO_TOTAL,1,59096,1,8,8460.0,8460.0,EXECUTADO,1581
209000153,9944.0,EXECUTADO_TOTAL,1,59631,13201,8,9944.0,9944.0,EXECUTADO,1569
105000048,10108.997,EXECUTADO_PARCIAL,1,59011,0212/24,8,9989.9455,9989.9455,EXECUTADO,1647
105000048,10108.997,EXECUTADO_PARCIAL,2,59476,FAT-105000048-20260520,8,119.05,119.05,EXECUTADO,1701
210030101,10799.0,EXECUTADO_TOTAL,1,59683,11764,8,10799.0,10799.0,EXECUTADO,1768
210072852,10910.0,EXECUTADO_TOTAL,1,59678,13203,8,6540.0,6540.0,EXECUTADO,1375
210072852,10910.0,EXECUTADO_TOTAL,2,38513,238/25,8,4370.0,4370.0,EXECUTADO,1370
210030218,11000.0,EXECUTADO_TOTAL,1,59097,0312/24,8,8139.0,8139.0,EXECUTADO,1566
210030218,11000.0,EXECUTADO_TOTAL,2,59652,13203,8,2861.0,2861.0,EXECUTADO,1413
3800000,11773.36,EXECUTADO_TOTAL,1,59066,008/25,8,1463.04,1463.04,EXECUTADO,1471
3800000,11773.36,EXECUTADO_TOTAL,2,59608,13212,8,10310.32,10310.32,EXECUTADO,1527
210030217,12164.0,EXECUTADO_TOTAL,1,16214,5062895,8,12164.0,12164.0,EXECUTADO,1404
105000047,12238.6377,EXECUTADO_TOTAL,1,59622,13221,8,0.27,0.27,EXECUTADO,1366
105000047,12238.6377,EXECUTADO_TOTAL,2,59103,20260203,8,1000.0,1000.0,EXECUTADO,1401
105000047,12238.6377,EXECUTADO_TOTAL,3,59475,FAT105000047-20260520,8,11238.367699999999,11238.367699999999,EXECUTADO,-1484
210902852,12938.0,EXECUTADO_TOTAL,1,59679,13203,8,2256.0,2256.0,EXECUTADO,1499
210902852,12938.0,EXECUTADO_TOTAL,2,38516,238/25,8,10682.0,10682.0,EXECUTADO,1343
207120309,13200.0,EXECUTADO_TOTAL,1,57497,115-076/26,8,13000.0,13000.0,EXECUTADO,1537
207120309,13200.0,EXECUTADO_TOTAL,2,15620,24944,8,200.0,200.0,EXECUTADO,1502
207120233,13200.0,EXECUTADO_TOTAL,1,15618,24943,8,13200.0,13200.0,EXECUTADO,1536
207120433,14000.0,EXECUTADO_TOTAL,1,57483,036-026/26,8,13200.0,13200.0,EXECUTADO,1541
207120433,14000.0,EXECUTADO_TOTAL,2,15622,24948,8,800.0,800.0,EXECUTADO,1447
210010319,14994.0,EXECUTADO_TOTAL,1,59654,25346,8,14994.0,14994.0,EXECUTADO,1421
109000003,15078.898,EXECUTADO_TOTAL,1,58973,MIGRACAO,8,3200.75,3200.75,EXECUTADO,1602
109000003,15078.898,EXECUTADO_TOTAL,2,59564,13209,8,11878.148,11878.148,EXECUTADO,1644
301000001,16898.1,EXECUTADO_TOTAL,1,57328,139/26,48,8882.4,8882.4,EXECUTADO,1805
301000001,16898.1,EXECUTADO_TOTAL,2,57328,139/26,4068,6110.1,6110.1,EXECUTADO,1523
301000001,16898.1,EXECUTADO_TOTAL,3,57328,139/26,8,6.0,6.0,EXECUTADO,1575
301000001,16898.1,EXECUTADO_TOTAL,4,59114,141/26,8,1069.5,1069.5,EXECUTADO,1544
301000001,16898.1,EXECUTADO_TOTAL,5,59114,141/26,4068,158.1,158.1,EXECUTADO,1456
301000001,16898.1,EXECUTADO_TOTAL,6,59247,142/26,8,671.9999999999985,671.9999999999985,EXECUTADO,1555
102030307,17100.0,EXECUTADO_TOTAL,1,57509,136/26,8,7590.0,7590.0,EXECUTADO,1634
102030307,17100.0,EXECUTADO_TOTAL,2,58994,139/26,8,9510.0,9510.0,EXECUTADO,1539
209079922,17330.0,EXECUTADO_TOTAL,1,59645,13201,8,17330.0,17330.0,EXECUTADO,1535
209039912,17900.0,EXECUTADO_TOTAL,1,59641,13201,8,4700.0,4700.0,EXECUTADO,-1332
209039912,17900.0,EXECUTADO_TOTAL,2,27467,25143,8,13200.0,13200.0,EXECUTADO,1515
210030208,18988.0,EXECUTADO_TOTAL,1,49560,567736,8,18988.0,18988.0,EXECUTADO,1721
209039913,19800.0,EXECUTADO_TOTAL,1,59642,13201,8,4800.0,4800.0,EXECUTADO,1518
209039913,19800.0,EXECUTADO_TOTAL,2,27468,25144,8,15000.0,15000.0,EXECUTADO,1494
209079923,20880.0,EXECUTADO_TOTAL,1,59646,13201,8,20880.0,20880.0,EXECUTADO,1462
210010204,20965.0,EXECUTADO_TOTAL,1,59303,13219,8,256.0,256.0,EXECUTADO,1761
210010204,20965.0,EXECUTADO_TOTAL,2,59485,13222,8,704.0,704.0,EXECUTADO,1603
210010204,20965.0,EXECUTADO_TOTAL,3,59742,13225,8,896.0,896.0,EXECUTADO,1538
210010204,20965.0,EXECUTADO_TOTAL,4,59094,500107704,8,1691.0,1691.0,EXECUTADO,1572
210010204,20965.0,EXECUTADO_TOTAL,5,37109,5111312,8,17418.0,17418.0,EXECUTADO,1494
210030102,21404.0,EXECUTADO_TOTAL,1,45083,111691,8,21404.0,21404.0,EXECUTADO,1596
209079913,21474.0,EXECUTADO_TOTAL,1,59644,13201,8,21474.0,21474.0,EXECUTADO,1527
104000011,22140.01,FALHA_SEM_QUANT,0,,,,0,0,(no transfer),0
209079912,22624.0,EXECUTADO_TOTAL,1,59643,13201,8,22624.0,22624.0,EXECUTADO,1726
201030051,22993.838,EXECUTADO_TOTAL,1,58035,057-040/26,8,2100.0,2100.0,EXECUTADO,1478
201030051,22993.838,EXECUTADO_TOTAL,2,7644,123498,8,20893.838,20893.838,EXECUTADO,1488
207030127,24000.0,EXECUTADO_TOTAL,1,57472,008-007/25,8,2000.0,2000.0,EXECUTADO,1407
207030127,24000.0,EXECUTADO_TOTAL,2,10050,0309/24,8,22000.0,22000.0,EXECUTADO,1402
207030426,24000.0,EXECUTADO_TOTAL,1,18307,0411/24,8,24000.0,24000.0,EXECUTADO,1489
207032627,24000.0,EXECUTADO_TOTAL,1,59077,1111/24-2211/24,8,24000.0,24000.0,EXECUTADO,-1360
210030115,24206.0,EXECUTADO_TOTAL,1,59690,80411,8,22726.0,22726.0,EXECUTADO,1404
210030115,24206.0,EXECUTADO_TOTAL,2,26458,80441,8,1480.0,1480.0,EXECUTADO,1373
105000017,24771.59945,EXECUTADO_TOTAL,1,59287,13216,8,310.959,310.959,EXECUTADO,1832
105000017,24771.59945,EXECUTADO_TOTAL,2,59313,13219,8,96.8192,96.8192,EXECUTADO,1537
105000017,24771.59945,EXECUTADO_TOTAL,3,59495,13222,8,266.2528,266.2528,EXECUTADO,1533
105000017,24771.59945,EXECUTADO_TOTAL,4,59579,13224,8,869.427,869.427,EXECUTADO,1535
105000017,24771.59945,EXECUTADO_TOTAL,5,59752,13225,8,338.8672,338.8672,EXECUTADO,1549
105000017,24771.59945,EXECUTADO_TOTAL,6,59818,13229,8,65.0504,65.0504,EXECUTADO,1620
105000017,24771.59945,EXECUTADO_TOTAL,7,59084,"AAEA014,CFF003",8,4548.735,4548.735,EXECUTADO,1621
105000017,24771.59945,EXECUTADO_TOTAL,8,59464,ACF003,8,18275.48885,18275.48885,EXECUTADO,1612
104000015,26521.94889,EXECUTADO_TOTAL,1,43626,MIGRACAO,8,13752.1245,13752.1245,EXECUTADO,2493
104000015,26521.94889,EXECUTADO_TOTAL,2,57478,027-098/26,27458,114.096,114.096,EXECUTADO,1555
104000015,26521.94889,EXECUTADO_TOTAL,3,57478,027-098/26,8,9.45,9.45,EXECUTADO,1630
104000015,26521.94889,EXECUTADO_TOTAL,4,1987,05072024,8,2e-05,2e-05,EXECUTADO,581
104000015,26521.94889,EXECUTADO_TOTAL,5,7218,124099,27458,1e-05,1e-05,EXECUTADO,560
104000015,26521.94889,EXECUTADO_TOTAL,6,7169,124114,8,2e-05,2e-05,EXECUTADO,553
104000015,26521.94889,EXECUTADO_TOTAL,7,59280,13216,8,130.8729,130.8729,EXECUTADO,1747
104000015,26521.94889,EXECUTADO_TOTAL,8,59306,13219,8,54.656,54.656,EXECUTADO,1655
104000015,26521.94889,EXECUTADO_TOTAL,9,59488,13222,8,150.304,150.304,EXECUTADO,1699
104000015,26521.94889,EXECUTADO_TOTAL,10,59572,13224,8,36.3744,36.3744,EXECUTADO,1639
104000015,26521.94889,EXECUTADO_TOTAL,11,59745,13225,8,191.296,191.296,EXECUTADO,-1165
104000015,26521.94889,EXECUTADO_TOTAL,12,59811,13229,8,36.722,36.722,EXECUTADO,1667
104000015,26521.94889,EXECUTADO_TOTAL,13,59775,13231,8,0.8081,0.8081,EXECUTADO,1703
104000015,26521.94889,EXECUTADO_TOTAL,14,59793,13233,8,447.4363,447.4363,EXECUTADO,1695
104000015,26521.94889,EXECUTADO_TOTAL,15,2523,2207/24,8,2e-05,2e-05,EXECUTADO,552
104000015,26521.94889,EXECUTADO_TOTAL,16,2699,2307/24,8,3e-05,3e-05,EXECUTADO,518
104000015,26521.94889,EXECUTADO_TOTAL,17,2773,2407/24,8,4e-05,4e-05,EXECUTADO,553
104000015,26521.94889,EXECUTADO_TOTAL,18,2905,2507/24,8,4e-05,4e-05,EXECUTADO,614
104000015,26521.94889,EXECUTADO_TOTAL,19,20895,2711/24,27458,5e-05,5e-05,EXECUTADO,561
104000015,26521.94889,EXECUTADO_TOTAL,20,17850,304/24,8,2e-05,2e-05,EXECUTADO,585
104000015,26521.94889,EXECUTADO_TOTAL,21,58303,LF/Estoque - MI062,27458,373.664,373.664,EXECUTADO,1660
104000015,26521.94889,EXECUTADO_TOTAL,22,53776,MI 027-098/26,8,1642.0506,1642.0506,EXECUTADO,1694
104000015,26521.94889,EXECUTADO_TOTAL,23,53776,MI 027-098/26,27458,167.0848,167.0848,EXECUTADO,1632
104000015,26521.94889,EXECUTADO_TOTAL,24,26556,MI008-024/25,8,4e-05,4e-05,EXECUTADO,552
104000015,26521.94889,EXECUTADO_TOTAL,25,22498,MI103/338/24,8,4.5e-05,4.5e-05,EXECUTADO,546
104000015,26521.94889,EXECUTADO_TOTAL,26,57576,P-15/05,8,9415.008954999996,9415.008954999996,EXECUTADO,1535
210010347,28420.0,EXECUTADO_TOTAL,1,13930,24843,8,28420.0,28420.0,EXECUTADO,1468
209000450,28916.0,EXECUTADO_TOTAL,1,59634,13201,8,28478.0,28478.0,EXECUTADO,1786
209000450,28916.0,EXECUTADO_TOTAL,2,59708,13227,8,237.0,237.0,EXECUTADO,1572
209000450,28916.0,EXECUTADO_TOTAL,3,59719,13228,8,201.0,201.0,EXECUTADO,1616
210030333,29800.0,EXECUTADO_TOTAL,1,59664,13203,8,7008.0,7008.0,EXECUTADO,1611
210030333,29800.0,EXECUTADO_TOTAL,2,59300,13219,8,1024.0,1024.0,EXECUTADO,1576
210030333,29800.0,EXECUTADO_TOTAL,3,59482,13222,8,2816.0,2816.0,EXECUTADO,1612
210030333,29800.0,EXECUTADO_TOTAL,4,59739,13225,8,3584.0,3584.0,EXECUTADO,1568
210030333,29800.0,EXECUTADO_TOTAL,5,59805,13229,8,688.0,688.0,EXECUTADO,1512
210030333,29800.0,EXECUTADO_TOTAL,6,55425,26198,8,14680.0,14680.0,EXECUTADO,-1357
301100014,31180.264,EXECUTADO_PARCIAL,1,55997,138/26,48,6587.52,6587.52,EXECUTADO,1808
301100014,31180.264,EXECUTADO_PARCIAL,2,55997,138/26,8,3565.48,3565.48,EXECUTADO,1538
301100014,31180.264,EXECUTADO_PARCIAL,3,55997,138/26,4066,12.6,12.6,EXECUTADO,1559
301100014,31180.264,EXECUTADO_PARCIAL,4,56000,139/26,4068,213.84,213.84,EXECUTADO,1516
301100014,31180.264,EXECUTADO_PARCIAL,5,58306,140/26,8,6594.0,6594.0,EXECUTADO,1545
301100014,31180.264,EXECUTADO_PARCIAL,6,56008,141/26,8,2110.284,2110.284,EXECUTADO,2767
301100014,31180.264,EXECUTADO_PARCIAL,7,59257,142/26,8,8842.32,8842.32,EXECUTADO,1600
301100014,31180.264,EXECUTADO_PARCIAL,8,59257,142/26,4066,1180.2,1180.2,EXECUTADO,1574
301100014,31180.264,EXECUTADO_PARCIAL,9,59257,142/26,4068,105.0,105.0,EXECUTADO,1555
210003011,31378.0,EXECUTADO_TOTAL,1,59092,1411/24,8,9152.0,9152.0,EXECUTADO,1342
210003011,31378.0,EXECUTADO_TOTAL,2,20796,79541,8,22226.0,22226.0,EXECUTADO,1402
210030002,31965.0,EXECUTADO_TOTAL,1,35385,151/25,8,17561.0,17561.0,EXECUTADO,1595
210030002,31965.0,EXECUTADO_TOTAL,2,43085,311,8,14404.0,14404.0,EXECUTADO,1589
209000110,33528.0,EXECUTADO_TOTAL,1,59627,13201,8,26064.0,26064.0,EXECUTADO,1480
209000110,33528.0,EXECUTADO_TOTAL,2,28309,5114943980,8,7464.0,7464.0,EXECUTADO,1443
206901619,34644.0,EXECUTADO_TOTAL,1,59596,13210,8,34644.0,34644.0,EXECUTADO,1288
210030330,36164.0,EXECUTADO_TOTAL,1,59662,13203,8,36164.0,36164.0,EXECUTADO,1474
209039900,43184.0,EXECUTADO_TOTAL,1,59640,13201,8,12074.0,12074.0,EXECUTADO,1486
209039900,43184.0,EXECUTADO_TOTAL,2,59089,25777,8,31110.0,31110.0,EXECUTADO,1505
