Explicação do campo;Nome do campo já existente no sistema;Sugestão de nome;Nome do campo no excel;
Codigo do produto;cod_produto;; COD ;4729198
Linha de produção;;linha_producao; LINHA ;LF
Descrição do produto;nome_produto;; Descrição Produto ;OL. MIS AZEITE DE OLIVA VD 12X500 ML - DOM GAMEIRO
Qtd total do item na carteira de pedidos;;qtd_total_produto_carteira; CART ;1000
Menor estoque do item em 7 dias;;menor_estoque_produto_d7; Previsão de ruptura ;
Ajuste de estoque (no sistema, ao ser lançado deverá gerar um lançamento nas movimentações de estoque);;ajuste_estoque_produto; AJUSTE EST ;
Estoque inicial / atual do item D0;;estoque;EST INICIAL - D0;1000
Qtd prevista para expedição de D0;;qtd_produto_saida_d0;SAIDA - D0;200
Estoque inicial D0 - Qtd prevista para expedição de D0;;estoque_d0;EST FINAL - D0;800
programação de produção D0;;producao_produto_d0;PROG PROD - D0;500
Estoque Final D0 + programação de produção D0;;estoque_inicial_d1;EST INICIAL - D+1;1300
Qtd prevista para expedição de D+1;;qtd_produto_saida_d1;SAIDA - D+1;200
Estoque final D0 + programação de produção D0 - Qtd prevista para expedição de D+1;;estoque_d1;EST FINAL - D+1;1100
programação de produção D+1;;producao_produto_d1;PROG PROD - D+1;500
Estoque Final D+1 + programação de produção D+1;;estoque_inicial_d2;EST INICIAL - D+2;1600
Qtd prevista para expedição de D+1;;qtd_produto_saida_d2;SAIDA - D+2;200
Estoque final D+1 + programação de produção D+1 - Qtd prevista para expedição de D+2;;estoque_d2;EST FINAL - D+2;1400
programação de produção D+2;;producao_produto_d2;PROG PROD - D+2;500
Estoque Final D+2 + programação de produção D+2;;estoque_inicial_d3;EST INICIAL - D+3;1900
;;;...;
