order_id/l10n_br_pedido_compra;order_id/name;order_id/create_date;order_id/date_order;order_id/partner_id/l10n_br_cnpj;order_id/partner_id/l10n_br_razao_social;order_id/partner_id/name;order_id/partner_id/l10n_br_municipio_id/name;order_id/partner_id/state_id/code;order_id/user_id;order_id/team_id;product_id/default_code;product_id/name;product_id/uom_id;product_uom_qty;qty_to_invoice;qty_saldo;qty_cancelado;qty_invoiced;price_unit;l10n_br_prod_valor;l10n_br_total_nfe;order_id/state;product_id/categ_id/name;product_id/categ_id/parent_id/name;product_id/categ_id/parent_id/parent_id/name;order_id/payment_term_id;order_id/payment_provider_id;order_id/picking_note;order_id/incoterm;order_id/carrier_id;order_id/commitment_date;order_id/partner_id/agendamento;qty_delivered;order_id/partner_shipping_id/l10n_br_cnpj;order_id/partner_shipping_id/self;order_id/partner_shipping_id/zip;order_id/partner_shipping_id/state_id;order_id/partner_shipping_id/l10n_br_municipio_id;order_id/partner_shipping_id/l10n_br_endereco_bairro;order_id/partner_shipping_id/street;order_id/partner_shipping_id/l10n_br_endereco_numero;order_id/partner_shipping_id/phone
Referência do pedido/Pedido de Compra do Cliente;Referência do pedido/Referência do pedido;Referência do pedido/Data de criação;Referência do pedido/Data do pedido;Referência do pedido/Cliente/CNPJ;Referência do pedido/Cliente/Razão Social;Referência do pedido/Cliente/Nome;Referência do pedido/Cliente/Município/Nome do Município;Referência do pedido/Cliente/Estado/Código do estado;Referência do pedido/Vendedor;Referência do pedido/Equipe de vendas;Produto/Referência interna;Produto/Nome;Produto/Unidade de medida;Quantidade;Quantidade a faturar;Saldo;Cancelado;Quantidade faturada;Preço unitário;Valor do Produto;Valor do Item do Pedido;Referência do pedido/Status;Produto/Categoria de produtos/Nome;Produto/Categoria de produtos/Categoria primária/Nome;Produto/Categoria de produtos/Categoria primária/Categoria primária/Nome;Referência do pedido/Condições de pagamento;Referência do pedido/Forma de Pagamento;Referência do pedido/Notas para Expedição;Referência do pedido/Incoterm;Referência do pedido/Método de entrega;Referência do pedido/Data de entrega;Referência do pedido/Cliente/Agendamento;Quantidade entregue;Referência do pedido/Endereço de entrega/CNPJ;Referência do pedido/Endereço de entrega/O próprio;Referência do pedido/Endereço de entrega/CEP;Referência do pedido/Endereço de entrega/Estado;Referência do pedido/Endereço de entrega/Município;Referência do pedido/Endereço de entrega/Bairro;Referência do pedido/Endereço de entrega/Endereço;Referência do pedido/Endereço de entrega/Número;Referência do pedido/Endereço de entrega/Telefone
146001;VCD2520494;2025-07-10 15:07:14;2025-07-14 17:19:52;02.814.340/0005-05;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO S.A.;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - PAULÍNIA;Paulínia;SP;198 GIAN E GIULIO MIRANTE TREINAMENTOS;VENDA EXTERNA FERNANDO;4629556;RELISH DE PEPINO - BAG 6X1,01KG - BY GEMEOS;CAIXAS;10,00;0,00;10,00;0,00;0,00;179,87;1.798,70;1.798,70;Pedido de venda;VD 160 A 205 G;PEPINO;CONSERVAS;35 DDL;Boleto Grafeno CD;Cliente novo;[CIF] CIF;;;Não;0,00;02.814.340/0005-05;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - PAULÍNIA;13148153;São Paulo (BR);Paulínia (SP);BETEL;R JOAQUIM ARICO;275;1141467000
146001;VCD2520494;2025-07-10 15:07:14;2025-07-14 17:19:52;02.814.340/0005-05;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO S.A.;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - PAULÍNIA;Paulínia;SP;198 GIAN E GIULIO MIRANTE TREINAMENTOS;VENDA EXTERNA FERNANDO;4739556;RELISH DE JALAPENO - BAG 6X1,01KG - BY GEMEOS;CAIXAS;10,00;0,00;10,00;0,00;0,00;179,87;1.798,70;1.798,70;Pedido de venda;PIMENTA JALAPENO;CONSERVAS;PRODUTO ACABADO;35 DDL;Boleto Grafeno CD;Cliente novo;[CIF] CIF;;;Não;0,00;02.814.340/0005-05;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - PAULÍNIA;13148153;São Paulo (BR);Paulínia (SP);BETEL;R JOAQUIM ARICO;275;1141467000
146001;VCD2520494;2025-07-10 15:07:14;2025-07-14 17:19:52;02.814.340/0005-05;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO S.A.;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - PAULÍNIA;Paulínia;SP;198 GIAN E GIULIO MIRANTE TREINAMENTOS;VENDA EXTERNA FERNANDO;4639556;PEPINO FATIADO SWEET PICKLES BAG 6X1,010KG - BY GEMEOS;CAIXAS;20,00;0,00;20,00;0,00;0,00;203,07;4.061,41;4.061,41;Pedido de venda;VD 160 A 205 G;PEPINO;CONSERVAS;35 DDL;Boleto Grafeno CD;Cliente novo;[CIF] CIF;;;Não;0,00;02.814.340/0005-05;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - PAULÍNIA;13148153;São Paulo (BR);Paulínia (SP);BETEL;R JOAQUIM ARICO;275;1141467000
146005;VCD2520493;2025-07-10 15:05:39;2025-07-14 17:09:44;02.814.340/0008-58;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO S.A.;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - SÃO PAULO;São Paulo;SP;198 GIAN E GIULIO MIRANTE TREINAMENTOS;VENDA EXTERNA FERNANDO;4739556;RELISH DE JALAPENO - BAG 6X1,01KG - BY GEMEOS;CAIXAS;10,00;0,00;10,00;0,00;0,00;179,87;1.798,70;1.798,70;Pedido de venda;PIMENTA JALAPENO;CONSERVAS;PRODUTO ACABADO;35 DDL;Boleto Grafeno CD;Cliente novo;[CIF] CIF;;;Não;0,00;02.814.340/0008-58;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - SÃO PAULO;02712070;São Paulo (BR);São Paulo (SP);JARDIM PEREIRA LEITE;R JACOFER;255;1141467000
146005;VCD2520493;2025-07-10 15:05:39;2025-07-14 17:09:44;02.814.340/0008-58;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO S.A.;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - SÃO PAULO;São Paulo;SP;198 GIAN E GIULIO MIRANTE TREINAMENTOS;VENDA EXTERNA FERNANDO;4639556;PEPINO FATIADO SWEET PICKLES BAG 6X1,010KG - BY GEMEOS;CAIXAS;20,00;0,00;20,00;0,00;0,00;203,07;4.061,41;4.061,41;Pedido de venda;VD 160 A 205 G;PEPINO;CONSERVAS;35 DDL;Boleto Grafeno CD;Cliente novo;[CIF] CIF;;;Não;0,00;02.814.340/0008-58;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - SÃO PAULO;02712070;São Paulo (BR);São Paulo (SP);JARDIM PEREIRA LEITE;R JACOFER;255;1141467000
146005;VCD2520493;2025-07-10 15:05:39;2025-07-14 17:09:44;02.814.340/0008-58;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO S.A.;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - SÃO PAULO;São Paulo;SP;198 GIAN E GIULIO MIRANTE TREINAMENTOS;VENDA EXTERNA FERNANDO;4629556;RELISH DE PEPINO - BAG 6X1,01KG - BY GEMEOS;CAIXAS;10,00;0,00;10,00;0,00;0,00;179,87;1.798,70;1.798,70;Pedido de venda;VD 160 A 205 G;PEPINO;CONSERVAS;35 DDL;Boleto Grafeno CD;Cliente novo;[CIF] CIF;;;Não;0,00;02.814.340/0008-58;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - SÃO PAULO;02712070;São Paulo (BR);São Paulo (SP);JARDIM PEREIRA LEITE;R JACOFER;255;1141467000
146000;VCD2520491;2025-07-10 15:00:51;2025-07-14 17:05:11;02.814.340/0001-81;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO S.A.;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - CARAPICUIBA;Carapicuíba;SP;198 GIAN E GIULIO MIRANTE TREINAMENTOS;VENDA EXTERNA FERNANDO;4739556;RELISH DE JALAPENO - BAG 6X1,01KG - BY GEMEOS;CAIXAS;20,00;0,00;20,00;0,00;0,00;179,87;3.597,40;3.597,40;Pedido de venda;PIMENTA JALAPENO;CONSERVAS;PRODUTO ACABADO;35 DDL;Boleto Grafeno CD;Cliente novo ;[CIF] CIF;;;Não;0,00;02.814.340/0001-81;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - CARAPICUIBA;06330010;São Paulo (BR);Carapicuíba (SP);PARQUE JANDAIA;AV M DO RIBEIRAO;4633;11418630931141863003
146000;VCD2520491;2025-07-10 15:00:51;2025-07-14 17:05:11;02.814.340/0001-81;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO S.A.;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - CARAPICUIBA;Carapicuíba;SP;198 GIAN E GIULIO MIRANTE TREINAMENTOS;VENDA EXTERNA FERNANDO;4639556;PEPINO FATIADO SWEET PICKLES BAG 6X1,010KG - BY GEMEOS;CAIXAS;50,00;0,00;50,00;0,00;0,00;203,07;10.153,53;10.153,53;Pedido de venda;VD 160 A 205 G;PEPINO;CONSERVAS;35 DDL;Boleto Grafeno CD;Cliente novo ;[CIF] CIF;;;Não;0,00;02.814.340/0001-81;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - CARAPICUIBA;06330010;São Paulo (BR);Carapicuíba (SP);PARQUE JANDAIA;AV M DO RIBEIRAO;4633;11418630931141863003
146000;VCD2520491;2025-07-10 15:00:51;2025-07-14 17:05:11;02.814.340/0001-81;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO S.A.;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - CARAPICUIBA;Carapicuíba;SP;198 GIAN E GIULIO MIRANTE TREINAMENTOS;VENDA EXTERNA FERNANDO;4629556;RELISH DE PEPINO - BAG 6X1,01KG - BY GEMEOS;CAIXAS;20,00;0,00;20,00;0,00;0,00;179,87;3.597,40;3.597,40;Pedido de venda;VD 160 A 205 G;PEPINO;CONSERVAS;35 DDL;Boleto Grafeno CD;Cliente novo ;[CIF] CIF;;;Não;0,00;02.814.340/0001-81;DISTRIBUIDORA E IMPORTADORA IRMAOS AVELINO - CARAPICUIBA;06330010;São Paulo (BR);Carapicuíba (SP);PARQUE JANDAIA;AV M DO RIBEIRAO;4633;11418630931141863003
