payment_id,payment_name,payment_date,amount,ref,partner_id,partner_name,journal_id,journal_name,company_id,company_name,move_line_id,credit,create_date
18702,PAGIS/2025/00714,2025-12-10,1269.02,NF-e: 141723 Série: 1 - VND/2025/05040,86024,R VOIGTEL,985,AGIS,4,NACOM GOYA - CD,2802207,1269.02,2025-12-15 15:17:02
18053,PJUROS/2025/00002,2025-12-09,32.32,JUROS - NF-e: 141621 Série: 1 - VND/2025/04956,87755,NOVA EURO,1066,JUROS RECEBIDOS,4,NACOM GOYA - CD,2783764,32.32,2025-12-12 17:46:16
18049,PJUROS/2025/00001,2025-12-09,272.15,JUROS - NF-e: 139895 Série: 1 - VND/2025/03730,205846,SUPER BARATAO,1066,JUROS RECEBIDOS,4,NACOM GOYA - CD,2783756,272.15,2025-12-12 17:46:03
18700,PAGIS/2025/00712,2025-12-08,1877.71,NF-e: 141614 Série: 1 - VND/2025/04950,87274,ET DIST LTDA ME,985,AGIS,4,NACOM GOYA - CD,2802203,1877.71,2025-12-15 15:16:59
18698,PAGIS/2025/00710,2025-12-08,4560.73,NF-e: 141880 Série: 1 - VND/2025/05162,88325,MEZZANI,985,AGIS,4,NACOM GOYA - CD,2802199,4560.73,2025-12-15 15:16:56
18696,PAGIS/2025/00708,2025-12-08,2302.19,NF-e: 141594 Série: 1 - VND/2025/04948,87964,EXTREMA DIST,985,AGIS,4,NACOM GOYA - CD,2802195,2302.19,2025-12-15 15:16:53
18694,PAGIS/2025/00706,2025-12-08,4761.99,NF-e: 141647 Série: 1 - VND/2025/04980,204042,P P ALIMENTOS,985,AGIS,4,NACOM GOYA - CD,2802191,4761.99,2025-12-15 15:16:49
18692,PAGIS/2025/00704,2025-12-08,14529.6,NF-e: 141615 Série: 1 - VND/2025/04963,86488,L & G ALIMENTOS DO BRASIL LTDA,985,AGIS,4,NACOM GOYA - CD,2802187,14529.6,2025-12-15 15:16:45
18690,PAGIS/2025/00702,2025-12-08,7298.43,NF-e: 140912 Série: 1 - VND/2025/04498,98882,REIMBERG SUP,985,AGIS,4,NACOM GOYA - CD,2802183,7298.43,2025-12-15 15:16:40
18688,PAGIS/2025/00700,2025-12-08,3111.19,NF-e: 140988 Série: 1 - VND/2025/04522,205343,SCA LITORAL DIST,985,AGIS,4,NACOM GOYA - CD,2802179,3111.19,2025-12-15 15:16:35
18686,PAGIS/2025/00698,2025-12-08,4174.32,NF-e: 141017 Série: 1 - VND/2025/04537,88123,DIST ALFA,985,AGIS,4,NACOM GOYA - CD,2802175,4174.32,2025-12-15 15:16:32
18683,PAGIS/2025/00695,2025-12-08,9400.79,NF-e: 140290 Série: 1 - VND/2025/04041,207868,DITUTTO,985,AGIS,4,NACOM GOYA - CD,2802169,9400.79,2025-12-15 15:16:28
18682,PAGIS/2025/00694,2025-12-07,112936.51,NF-e: 139716 Série: 1 - VND/2025/03595,98894,GRAND MARCA DISTRIBUIDORA LTDA,985,AGIS,4,NACOM GOYA - CD,2802167,112936.51,2025-12-15 15:16:24
18680,PAGIS/2025/00692,2025-12-05,12365.0,NF-e: 140768 Série: 1 - VND/2025/04391,87069,REDE MAIS,985,AGIS,4,NACOM GOYA - CD,2802163,12365.0,2025-12-15 15:16:21
18678,PAGIS/2025/00690,2025-12-05,2850.0,NF-e: 140776 Série: 1 - VND/2025/04375,205734,EVEREST ALIMENTOS,985,AGIS,4,NACOM GOYA - CD,2802159,2850.0,2025-12-15 15:16:16
18676,PAGIS/2025/00688,2025-12-05,1697.42,NF-e: 140789 Série: 1 - VND/2025/04398,206959,CAMPO REAL ATACADO,985,AGIS,4,NACOM GOYA - CD,2802155,1697.42,2025-12-15 15:16:13
18674,PAGIS/2025/00686,2025-12-05,1697.41,NF-e: 140789 Série: 1 - VND/2025/04398,206959,CAMPO REAL ATACADO,985,AGIS,4,NACOM GOYA - CD,2802151,1697.41,2025-12-15 15:16:10
18672,PAGIS/2025/00684,2025-12-05,21221.83,NF-e: 140795 Série: 1 - VND/2025/04407,207858,DISPAN,985,AGIS,4,NACOM GOYA - CD,2802147,21221.83,2025-12-15 15:16:07
18670,PAGIS/2025/00682,2025-12-05,7715.85,NF-e: 140937 Série: 1 - VND/2025/04512,87817,FRIALY,985,AGIS,4,NACOM GOYA - CD,2802143,7715.85,2025-12-15 15:16:04
18668,PAGIS/2025/00680,2025-12-05,4723.88,NF-e: 140512 Série: 1 - VND/2025/04188,206985,ZANOETTO RESTAURANTES CORPORATIVOS,985,AGIS,4,NACOM GOYA - CD,2802139,4723.88,2025-12-15 15:16:00
18666,PAGIS/2025/00678,2025-12-04,15840.1,NF-e: 141837 Série: 1 - VND/2025/05104,88325,MEZZANI,985,AGIS,4,NACOM GOYA - CD,2802135,15840.1,2025-12-15 15:15:56
18664,PAGIS/2025/00676,2025-12-04,1994.94,NF-e: 141471 Série: 1 - VND/2025/04861,88363,LA BELLA,985,AGIS,4,NACOM GOYA - CD,2802131,1994.94,2025-12-15 15:15:52
18662,PAGIS/2025/00674,2025-12-04,3386.84,NF-e: 141472 Série: 1 - VND/2025/04862,87349,CONSUMA,985,AGIS,4,NACOM GOYA - CD,2802127,3386.84,2025-12-15 15:15:49
18660,PAGIS/2025/00672,2025-12-04,4438.98,NF-e: 141473 Série: 1 - VND/2025/04864,87349,CONSUMA,985,AGIS,4,NACOM GOYA - CD,2802123,4438.98,2025-12-15 15:15:46
18658,PAGIS/2025/00670,2025-12-04,15152.25,NF-e: 140727 Série: 1 - VND/2025/04374,87614,ZANEPAN,985,AGIS,4,NACOM GOYA - CD,2802119,15152.25,2025-12-15 15:15:43
