cod_produto;descricao;company;qtd_ajuste;tipo_ajuste
210010600;SLEEVE LACRE MOLHO DE SALADA ST.ISABEL 240 ML;LF;250330.0;POSITIVO
206200004;VIDRO 200 G - CONSERVA;FB;11512.2;POSITIVO
208000041;FILME TERMO ENCOLHIVEL;CD;2120.8;POSITIVO
210030703;BAG - 20 X 25 X 0,20 - LISO;FB;1000.0;POSITIVO
203030016;TAMPA PLASTICA AZUL - BD 2,2 L - CONSERVA;FB;792.0;POSITIVO
205400931;BOBINA DE FILME - 170 G CI - VAL;CD;421.8;POSITIVO
205400406;BOBINA DE FILME - 300 G AZ VI - VAL;CD;264.9;POSITIVO
205030100;BOBINA DE FILME - AZVSC 120 GR - CB;FB;58.8;POSITIVO
104000085;AMOSTRA - MANJERICAO EM PO;FB;30.0;POSITIVO
104000003;ACUCAR;FB;30.0;POSITIVO
105000062;PIMENTAO VERMELHO FLOCADO FUCHS;FB;6.5;POSITIVO
104000046;CORANTE VERMELHO;LF;1.8;POSITIVO
3856101;MAIONESE VERDE - STRUMPF;FB;-0.1;NEGATIVO
105000021;POLPA - PIMENTA MALAGUETA;FB;-0.2;NEGATIVO
105000038;EMULSAO - ALHO - ST 2172;FB;-0.2;NEGATIVO
4759697;OLEO DE SOJA MISTO - PET 24X200 ML - CASA BLANCA;FB;-0.2;NEGATIVO
4890124;MOLHO DE SALADA ITALIANO - PET 12X240 ML - CAMPO BELO;FB;-0.3;NEGATIVO
105000050;CORANTE - VITAMASSA U/102;FB;-0.3;NEGATIVO
105000044;SALSA TRITURADO;FB;-0.3;NEGATIVO
105000028;CONDIMENTO - MOSTARDA - YM 678653;FB;-0.4;NEGATIVO
3084891;PEPINO TRITURADO - STRUMPF;FB;-0.4;NEGATIVO
105000059;AROMA PICLES FIRMENICH - PICKLE FLAVOR;FB;-0.4;NEGATIVO
105000046;GLUTAMATO MONOSSODICO;FB;-0.4;NEGATIVO
105000051;AROMA - BALSAMICO ST 2184;FB;-0.5;NEGATIVO
105000002;AROMA - ERVAS FINAS;FB;-0.7;NEGATIVO
4759199;OLEO DE SOJA MISTO - GL 4X5,02 L - DOM GAMEIRO;LF;-0.8;NEGATIVO
4510156;COGUMELO FATIADO POUCH 6x1,01 KG - CAMPO BELO;FB;-1.0;NEGATIVO
4510161;COGUMELO FATIADO - BD 6X1,01 KG - CAMPO BELO;FB;-1.0;NEGATIVO
4080156;PEPINO - POUCH 6X1,01 KG - CAMPO BELO;FB;-1.0;NEGATIVO
105000023;ANTIESPUMANTE AFE 1520;FB;-1.6;NEGATIVO
104000056;ACIDO FOSFORICO - GRAU ALIMENTICIO;FB;-1.8;NEGATIVO
105000065;CONDIMENTO - FUCHS MIX 2672 - STRUMPF;FB;-1.8;NEGATIVO
105000013;BHT/ BHA;FB;-2.0;NEGATIVO
4320172;AZEITONA VERDE FATIADA - VD 12X160 G - CAMPO BELO;FB;-2.0;NEGATIVO
4320162;AZEITONA VERDE FATIADA - BD 6X2 KG - CAMPO BELO;FB;-2.0;NEGATIVO
4310176;AZEITONA VERDE INTEIRA - VD 12X200 G - CAMPO BELO;FB;-2.0;NEGATIVO
104000014;OREGANO TRITURADO;FB;-3.3;NEGATIVO
105000006;CONDIMENTO - KETCHUP;FB;-4.1;NEGATIVO
105000078;SALSA DESIDRATADA;FB;-4.6;NEGATIVO
104000012;MANJERICAO DESIDRATADO;FB;-5.6;NEGATIVO
4880176;MOLHO BARBECUE - PET 12X200 G - CAMPO BELO;CD;-6.0;NEGATIVO
4320156;AZEITONA VERDE FATIADA - POUCH 6X1,01 KG - CAMPO BELO;CD;-6.0;NEGATIVO
105000003;AROMA - MAIONESE;FB;-6.4;NEGATIVO
105000033;MOSTARDA AMARELA EM PO;FB;-7.4;NEGATIVO
105000069;AROMA IDENTICO AO NATURAL DE MOLHO TARTARO;FB;-8.0;NEGATIVO
4220179;AZEITONA PRETA AZAPA - VD 12X360 G - CAMPO BELO;CD;-9.0;NEGATIVO
104000018;SORBATO DE POTASSIO GRANULADO;FB;-10.0;NEGATIVO
105000087;AROMA DE PIMENTA - CHIPOTLE;FB;-11.3;NEGATIVO
104000032;MOSTARDA AMARELA GRAO;FB;-14.8;NEGATIVO
4360172;AZEITONA VERDE SEM CAROCO - VD 12X160 G - CAMPO BELO;CD;-18.0;NEGATIVO
4038776;PICLES VD 12X200 G;FB;-19.3;NEGATIVO
4040145;ALCAPARRA - POUCH 30X100 G - CAMPO BELO;FB;-20.0;NEGATIVO
105000086;MANJERICAO - EM PO;FB;-21.2;NEGATIVO
105000058;AROMA SF 56318;FB;-25.9;NEGATIVO
105000036;PIMENTA PRETA EM PO;FB;-26.4;NEGATIVO
X105000001;VINAGRE DE ALCOOL DUPLO;FB;-28.8;NEGATIVO
105000032;EDTA;FB;-31.4;NEGATIVO
104000021;CEBOLA EM PO;FB;-33.0;NEGATIVO
105000085;TOMATE EM FLOCOS;FB;-35.2;NEGATIVO
105000039;AROMA - SHOYU ST 2175;FB;-36.0;NEGATIVO
105000084;PIMENTAO VERMELHO EM FLOCOS;FB;-39.7;NEGATIVO
105000034;CANELA EM PO;FB;-40.0;NEGATIVO
